City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
478,Marawi,PH,75.99,overcast clouds,8.0,124.29,Derogongan Residence
479,Honiara,SB,80.6,broken clouds,-9.43,159.95,Heritage Park Hotel
480,Maceio,BR,78.8,few clouds,-9.67,-35.74,Mercure Maceio Pajucara Hotel
484,Reconquista,AR,78.33,clear sky,-29.15,-59.65,Grand Hotel
488,Sinnamary,GF,81.45,clear sky,5.38,-52.95,ALETHEIA Appartement Sinnamary
492,Fernley,US,75.99,few clouds,39.61,-119.25,Super 8 by Wyndham Fernley
494,Mana,GF,81.95,clear sky,5.66,-53.78,LE SAMANA
498,Springdale,US,81.0,scattered clouds,36.19,-94.13,Springdale Inn
500,Am Timan,TD,75.69,overcast clouds,11.03,20.28,Palais du chef Canton Salamt
503,Manokwari,ID,80.67,light rain,-0.87,134.08,Swiss Belhotel Manokwari
504,Pontianak,ID,75.81,broken clouds,-0.03,109.33,Aston Pontianak Hotel & Convention Center
507,Coahuayana,MX,84.2,scattered clouds,18.73,-103.68,Hotel Los Arcos
510,Manaus,BR,84.2,broken clouds,-3.1,-60.02,Hotel do Largo
512,Naze,JP,78.8,broken clouds,28.37,129.48,奄美ポートタワーホテル
514,Half Moon Bay,US,84.0,haze,37.46,-122.43,"The Ritz-Carlton, Half Moon Bay"
518,Linguere,SN,87.39,few clouds,15.4,-15.12,Hôtel Amadou Seck
523,Mayumba,GA,77.25,overcast clouds,-3.43,10.66,LIKWALE LODGE
525,Kailua,US,82.4,overcast clouds,21.4,-157.74,Sheffield House Bed & Breakfast
526,Carauari,BR,83.66,light rain,-4.88,-66.9,Pousada Lobo
527,Matara,LK,78.48,light rain,5.95,80.54,Amaloh Boutique Resort
544,Bathsheba,BB,84.2,few clouds,13.22,-59.52,Atlantis Hotel
546,Alta Floresta,BR,78.03,light rain,-9.88,-56.09,Floresta Amazonica Hotel
555,Vila Velha,BR,77.0,broken clouds,-20.33,-40.29,Hotel Vitória Palace
562,Ranong,TH,78.69,moderate rain,9.97,98.63,Tinidee Hotel@Ranong
563,Bosaso,SO,85.12,scattered clouds,11.28,49.18,Red Sea Hotel
567,Cabo Rojo,PR,82.99,few clouds,18.09,-67.15,Hotel Perichi's
568,Puerto Ayacucho,VE,83.28,moderate rain,5.66,-67.62,Posada Turistica Manapiare
569,Aborlan,PH,77.0,few clouds,9.44,118.55,Kevina Transient House
575,Caucaia,BR,81.0,scattered clouds,-3.74,-38.65,M.O.S. Logística - Filial Fortaleza
576,Gweta,BW,78.55,clear sky,-20.18,25.23,Gweta Lodge
579,Chinu,CO,80.28,light rain,9.11,-75.4,Restaurante y Hotel Punto y ComaX
580,Loanda,AO,75.74,broken clouds,-8.84,13.23,EPIC SANA Luanda
585,Kualakapuas,ID,75.2,mist,-3.01,114.39,Guest House Izonk
586,Nanakuli,US,84.2,clear sky,21.39,-158.15,Camp Pālehua
588,Nauta,PE,77.5,light rain,-4.51,-73.58,Amazon Exploring Expedition - Eretzen Tá Lodge
589,Trinidad,BO,84.2,broken clouds,-14.83,-64.9,Hotel Piesta
599,Fredericksburg,US,77.0,clear sky,38.3,-77.46,Courtyard by Marriott Fredericksburg Historic District
600,Itoman,JP,75.2,heavy intensity shower rain,26.12,127.67,Southern Beach Hotel & Resort Okinawa
601,Woodward,US,82.4,scattered clouds,36.43,-99.39,Holiday Inn Express & Suites Woodward Hwy 270
602,Harper,LR,78.31,overcast clouds,4.38,-7.72,Screensaver
606,Veraval,IN,82.15,broken clouds,20.9,70.37,Lords Inn Somnath
607,Natal,BR,75.2,shower rain,-5.79,-35.21,Villa Park Hotel | Natal
611,Jardim,BR,79.88,broken clouds,-21.48,-56.14,Hotel Estância
613,Narasannapeta,IN,76.82,moderate rain,18.42,84.05,G.lingaraju home
619,Ipanguacu,BR,85.23,scattered clouds,-5.5,-36.85,Família Santos
621,Bubaque,GW,82.06,overcast clouds,11.28,-15.83,Casa Dora - Mango Lodge
622,Kapoeta,SS,79.72,overcast clouds,4.77,33.59,Eastgate Hotel
623,Poum,NC,76.6,clear sky,-20.23,164.02,Gîte kajeon
633,Bairiki,KI,82.4,scattered clouds,1.33,172.98,Tarawa Boutique Hotel
636,Port Moresby,PG,78.8,haze,-9.44,147.18,Lamana Hotel
641,Funadhoo,MV,81.32,light rain,6.15,73.27,Dhaffalhu Tourist Lodge
643,Vila Do Maio,CV,80.6,scattered clouds,15.13,-23.22,Residence 'I Delfini'
645,Makakilo City,US,84.2,clear sky,21.35,-158.09,Marriott's Ko Olina Beach Club
648,Pital,CO,77.59,light rain,2.27,-75.8,Finca el Rebaño Vida el Uvital
649,Olinda,BR,78.8,scattered clouds,-8.01,-34.86,Hotel 5 Sóis
652,Puerto Carreno,CO,86.61,light rain,6.19,-67.49,Casa Hotel Victoria
654,Hwange,ZW,80.53,clear sky,-18.37,26.5,Hwange Colliery Guest House
661,Luanda,AO,75.74,broken clouds,-8.84,13.23,EPIC SANA Luanda
664,Takoradi,GH,77.68,overcast clouds,4.88,-1.76,Raybow International Hotel
670,Statesville,US,78.8,clear sky,35.78,-80.89,Courtyard by Marriott Statesville Mooresville/Lake Norman
671,Labuhan,ID,79.27,light rain,-6.88,112.21,bador sepret
673,Sand Springs,US,89.6,clear sky,36.14,-96.11,Magnuson Hotel Sand Springs-Tulsa West
676,Bull Savanna,JM,75.25,light rain,17.89,-77.59,Big Red's
682,Chalmette,US,84.2,clear sky,29.94,-89.96,Marina Motel Chalmette
685,Road Town,VG,84.2,few clouds,18.42,-64.62,"ZINGARA 76ft Catamaran, full crew-all included"
691,Parker,US,84.99,few clouds,32.77,-97.8,Candlewood Suites Weatherford
692,Sao Gabriel Da Cachoeira,BR,84.69,heavy intensity rain,-0.13,-67.09,Alarne - Área De Lazer Do Alto Rio Negro
694,Benguela,AO,75.69,scattered clouds,-12.58,13.41,Hotel Praia Morena
701,Santo Domingo,DO,87.8,few clouds,18.5,-69.99,Micro Hotel Condo Suites
704,Point Pedro,LK,81.81,overcast clouds,9.82,80.23,Gtr homes
705,Moerai,PF,76.51,light rain,-22.43,-151.33,Le Manotel
713,Ewa Beach,US,84.2,clear sky,21.32,-158.01,Hampton Inn & Suites Oahu/Kapolei
716,Puerto Escondido,MX,87.8,scattered clouds,15.85,-97.07,Aldea del Bazar Hotel and Spa
717,Pouembout,NC,79.59,clear sky,-21.13,164.9,Camping de Tipenga
718,Aden,YE,85.69,clear sky,12.78,45.04,Sama Emirate Hotel
724,Jefferson,US,82.4,clear sky,38.18,-85.65,Red Roof Inn Louisville Fair And Expo
727,Auki,SB,82.36,light rain,-8.77,160.7,Auki Motel
729,Araguaina,BR,88.34,few clouds,-7.19,-48.21,Hotel São Vicente
730,Chabahar,IR,75.63,clear sky,25.29,60.64,هتل گدروشیا
732,Cedar City,US,75.2,clear sky,37.68,-113.06,Hampton Inn Cedar City
737,Charleston,US,77.0,overcast clouds,32.78,-79.93,French Quarter Inn
739,Fort Walton Beach,US,84.2,few clouds,30.41,-86.62,Best Western Ft. Walton Beachfront
751,Fort Smith,US,87.01,few clouds,35.39,-94.4,Hampton Inn Fort Smith
754,Djenne,ML,87.8,clear sky,13.91,-4.55,Restaurant Kita Kouraou
755,Tagusao,PH,79.48,light rain,9.19,117.81,"Shaman's Breath- Beach, Bed & Breakfast"
761,Dondo,MZ,77.0,clear sky,-19.61,34.74,Arco Iris
762,Kimbe,PG,81.07,broken clouds,-5.55,150.14,Kimbe Bay Hotel
764,Kpandu,GH,77.49,scattered clouds,7.0,0.29,Emo House
766,Mareeba,AU,79.0,scattered clouds,-17.0,145.43,Trinity Plains Tourist Park
770,Yazoo City,US,84.2,clear sky,32.86,-90.41,Hampton Inn Yazoo City
779,Marigot,MF,86.0,few clouds,18.07,-63.08,Royal Palm Beach Resort
782,San Andres,CO,87.8,broken clouds,12.58,-81.7,Hotel Arena Blanca
783,San Policarpo,PH,79.72,overcast clouds,12.18,125.51,Zal-Ann Beach Resort
786,Tarakan,ID,78.69,clear sky,3.3,117.63,RedDoorz Syariah near Taman Berlabuh Tarakan
787,Metro,ID,75.99,overcast clouds,-5.11,105.31,OYO 3177 Wisma Lintang
788,Tekari,IN,75.2,mist,24.93,84.83,Fast Food
789,Medea,DZ,77.0,scattered clouds,36.26,2.75,Hôtel M'Sallah
795,Kalmunai,LK,78.71,clear sky,7.42,81.82,VS Villa
804,Muisne,EC,75.87,broken clouds,0.6,-80.03,Quinta Samay
808,Hirara,JP,77.0,light rain,24.8,125.28,Hotel Atoll Emerald Miyakojima
815,Madison,US,81.0,few clouds,34.73,-86.57,Embassy Suites by Hilton Huntsville Hotel & Spa
821,Bharatpur,IN,75.96,scattered clouds,27.22,77.48,OYO 22446 Sonar Haveli
830,Kirakira,SB,84.11,few clouds,-10.45,161.92,SanBiz Lodge
833,Robertsport,LR,79.16,light rain,6.75,-11.37,Kwepunha Retreat
837,Tecolotlan,MX,84.99,few clouds,20.22,-104.05,Hotel Albatros
838,Roswell,US,79.0,few clouds,34.02,-84.36,La Quinta Inn & Suites by Wyndham Atlanta Roswell
839,Bhuban,IN,75.24,overcast clouds,20.88,85.83,Jagarnnath tea Stall
840,Niono,ML,86.18,clear sky,14.25,-5.99,Hôtel Campement
845,Tebingtinggi,ID,75.2,light rain,3.33,99.16,Hotel Malibou
848,Doha,QA,80.6,clear sky,25.29,51.53,Doha Marriott Hotel
852,Majene,ID,78.6,clear sky,-3.54,118.97,Kost Putri RABBANI
857,Gizo,SB,83.86,moderate rain,-8.1,156.84,Imagination Island
