City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
231,Tutoia,BR,-2.76,-42.27,80.42,78,24,13.87,few clouds
232,Port Lincoln,AU,-34.73,135.87,58.44,81,92,22.44,moderate rain
233,Sakakah,SA,29.97,40.21,73.4,13,0,5.82,clear sky
234,Ejea De Los Caballeros,ES,42.13,-1.14,66.2,55,100,16.11,overcast clouds
235,Ascension,US,30.22,-90.9,87.8,52,1,5.82,clear sky
236,Igarka,RU,67.47,86.58,14.81,97,97,4.79,overcast clouds
237,Pedernales,DO,18.04,-71.74,80.6,83,75,6.93,broken clouds
238,Gilgit,PK,35.92,74.31,57.24,31,0,4.99,clear sky
239,Sao Filipe,CV,14.9,-24.5,82.18,67,69,7.65,broken clouds
240,Ourossogui,SN,15.61,-13.32,84.2,54,28,2.24,scattered clouds
241,Jiupu,CN,41.07,122.95,36.7,72,0,6.58,clear sky
242,Canico,PT,32.63,-16.85,64.4,63,40,5.82,scattered clouds
243,Quatre Cocos,MU,-20.21,57.76,75.2,78,75,9.17,broken clouds
244,Gazojak,TM,41.19,61.4,46.2,64,35,6.38,scattered clouds
245,Okhotsk,RU,59.38,143.3,33.17,93,99,19.33,light rain
246,Pevek,RU,69.7,170.31,29.75,99,95,0.56,overcast clouds
247,Daru,PG,-9.08,143.21,80.13,79,19,9.98,few clouds
248,Inta,RU,66.03,60.17,21.92,97,100,11.14,light snow
249,Paray-Le-Monial,FR,46.45,4.12,64.0,67,100,4.7,overcast clouds
250,Udachnyy,RU,66.42,112.4,-0.4,91,90,4.54,mist
251,Lebu,CL,-37.62,-73.65,50.05,77,0,15.73,clear sky
252,Voi,KE,-3.39,38.56,69.85,81,7,6.53,clear sky
253,Dekar,BW,-21.53,21.93,77.43,26,0,18.84,clear sky
254,Aykhal,RU,66.0,111.5,-0.4,91,90,5.93,mist
255,Envira,BR,-7.3,-70.22,83.57,67,38,1.7,scattered clouds
256,Villazon,BO,-22.09,-65.59,57.45,51,34,13.09,light rain
257,Lavrentiya,RU,65.58,-171.0,37.69,85,0,4.81,clear sky
258,Egvekinot,RU,66.32,-179.17,32.58,100,85,6.38,overcast clouds
259,Tukrah,LY,32.53,20.58,65.62,51,3,2.1,clear sky
260,Port Elizabeth,ZA,-33.92,25.57,60.8,93,0,4.7,clear sky
261,Guiratinga,BR,-16.35,-53.76,76.14,77,92,2.82,light rain
262,Amahai,ID,-3.33,128.92,82.99,92,100,4.43,light rain
263,Humaita,BR,-7.51,-63.02,75.29,91,100,4.21,moderate rain
264,Hofn,IS,64.25,-15.21,35.91,78,71,7.23,broken clouds
265,Lawton,US,34.61,-98.39,87.8,40,40,17.22,scattered clouds
266,Isangel,VU,-19.55,169.27,82.4,69,20,9.17,few clouds
