City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
154,Bud,US,2020-10-19 19:11:23,39.45,-86.18,52.0,93,90,6.93
155,Naryan-Mar,RU,2020-10-19 19:11:23,67.67,53.09,25.75,96,0,1.45
156,Nikolskoye,RU,2020-10-19 19:11:24,59.7,30.79,37.4,90,90,8.95
157,Hosakote,IN,2020-10-19 19:11:24,14.28,77.17,73.89,85,98,10.83
158,Lobito,AO,2020-10-19 19:11:24,-12.35,13.55,75.0,78,8,6.6
159,Khandyga,RU,2020-10-19 19:11:24,62.67,135.6,12.87,97,95,1.07
160,Saint-Georges,GD,2020-10-19 19:11:24,12.06,-61.75,84.47,69,91,9.01
161,Darhan,MN,2020-10-19 19:11:24,49.49,105.92,28.47,94,100,19.28
162,Mecca,SA,2020-10-19 19:07:54,21.43,39.83,76.95,39,0,2.3
163,Cascais,PT,2020-10-19 19:11:24,38.7,-9.42,64.4,93,75,4.7
164,Dingle,PH,2020-10-19 19:11:25,11.0,122.67,77.02,89,100,1.32
165,Kabo,CF,2020-10-19 19:11:10,7.7,18.63,77.11,64,82,2.01
166,Lakes Entrance,AU,2020-10-19 19:11:25,-37.88,147.98,45.0,89,74,4.09
167,Qaanaaq,GL,2020-10-19 19:11:25,77.48,-69.36,26.65,82,10,9.44
168,Yar-Sale,RU,2020-10-19 19:11:25,66.83,70.83,17.98,96,0,3.71
169,Torres,BR,2020-10-19 19:11:25,-29.34,-49.73,75.18,71,0,13.91
170,Florida Ridge,US,2020-10-19 19:11:25,27.58,-80.39,75.2,88,90,17.45
171,Qatana,SY,2020-10-19 19:09:06,33.44,36.08,71.6,32,38,3.36
172,Micheweni,TZ,2020-10-19 19:11:26,-4.97,39.83,78.71,78,0,8.43
173,Marevo,RU,2020-10-19 19:11:26,57.31,32.08,35.73,93,100,14.92
174,Brae,GB,2020-10-19 19:11:26,60.4,-1.35,46.4,87,75,36.91
175,Puerto Madryn,AR,2020-10-19 19:07:28,-42.77,-65.04,62.8,27,0,25.5
176,Kangaatsiaq,GL,2020-10-19 19:11:26,68.31,-53.46,38.68,87,100,30.89
177,Dargaville,NZ,2020-10-19 19:08:54,-35.93,173.88,55.53,86,100,6.73
178,La Malbaie,CA,2020-10-19 19:11:27,47.66,-70.16,52.0,74,100,5.99
179,Hambantota,LK,2020-10-19 19:11:27,6.12,81.12,78.8,94,40,6.93
180,Honiara,SB,2020-10-19 19:11:27,-9.43,159.95,75.2,94,20,2.24
181,Touros,BR,2020-10-19 19:11:27,-5.2,-35.46,84.2,66,40,17.22
182,Kamaishi,JP,2020-10-19 19:11:27,39.27,141.88,54.09,65,3,5.66
183,Nago,JP,2020-10-19 19:11:27,26.59,127.98,78.8,88,75,11.41
184,Souillac,MU,2020-10-19 19:11:27,-20.52,57.52,75.2,69,40,11.41
185,Tura,IN,2020-10-19 19:11:28,25.52,90.22,72.3,89,0,2.48
186,Morant Bay,JM,2020-10-19 19:11:28,17.88,-76.41,87.8,74,40,16.11
187,Falmouth,GB,2020-10-19 19:08:46,50.15,-5.07,57.2,76,100,18.34
188,Praia Da Vitoria,PT,2020-10-19 19:11:17,38.73,-27.07,60.8,77,40,27.92
189,Petropavlovsk-Kamchatskiy,RU,2020-10-19 19:11:28,53.05,158.65,37.4,86,100,2.24
190,Elliot Lake,CA,2020-10-19 19:11:28,46.38,-82.63,39.33,82,79,4.45
191,Westport,US,2020-10-19 19:11:28,41.14,-73.36,64.99,68,40,9.17
192,Zhigansk,RU,2020-10-19 19:11:28,66.77,123.37,13.35,95,100,7.58
193,Airai,TL,2020-10-19 19:11:28,-8.93,125.41,60.39,63,0,1.88
194,Marsa Matruh,EG,2020-10-19 19:11:29,31.35,27.25,77.0,69,9,5.82
195,Mahuva,IN,2020-10-19 19:11:29,21.09,71.76,82.6,78,89,7.23
196,Fare,PF,2020-10-19 19:11:29,-16.7,-151.02,79.88,79,0,21.0
197,Asfi,MA,2020-10-19 19:11:21,32.3,-9.24,66.0,79,24,8.12
198,Port-Gentil,GA,2020-10-19 19:11:29,-0.72,8.78,80.6,83,75,12.75
199,Port Augusta,AU,2020-10-19 19:11:29,-32.5,137.77,53.01,87,100,4.7
200,Litovko,RU,2020-10-19 19:11:30,49.24,135.17,28.29,87,0,2.89
201,Huangchuan,CN,2020-10-19 19:11:30,32.13,115.04,56.55,73,100,5.77
202,Nome,US,2020-10-19 19:11:04,64.5,-165.41,37.4,93,90,4.7
203,Cidreira,BR,2020-10-19 19:11:09,-30.18,-50.21,72.23,76,0,14.2
204,Suamico,US,2020-10-19 19:11:30,44.63,-88.04,39.0,47,90,5.82
205,Ende,ID,2020-10-19 19:11:30,-8.84,121.66,77.36,77,11,0.6
206,Acari,PE,2020-10-19 19:11:30,-15.43,-74.62,77.86,39,0,10.45
207,Eyl,SO,2020-10-19 19:11:31,7.98,49.82,81.21,78,66,9.22
208,Sirjan,IR,2020-10-19 19:11:31,29.45,55.68,50.27,30,0,5.59
209,Koshurnikovo,RU,2020-10-19 19:11:31,54.17,93.3,25.68,95,100,3.76
210,Bolu,TR,2020-10-19 19:11:31,40.67,31.58,49.14,84,91,3.8
211,Nalut,LY,2020-10-19 19:11:31,30.33,10.85,64.76,31,0,13.51
212,Naze,JP,2020-10-19 19:06:55,28.37,129.48,75.2,88,75,14.99
213,Roebourne,AU,2020-10-19 19:11:31,-20.78,117.13,66.27,83,0,9.28
214,Mildura,AU,2020-10-19 19:11:32,-34.2,142.15,46.4,87,0,3.36
215,Fivizzano,IT,2020-10-19 19:11:32,44.24,10.13,55.99,81,22,1.99
216,Port Shepstone,ZA,2020-10-19 19:11:32,-30.74,30.45,68.58,88,100,7.65
217,Paamiut,GL,2020-10-19 19:11:15,61.99,-49.67,40.28,82,100,14.94
218,Tieli,CN,2020-10-19 19:11:32,46.95,128.05,38.8,74,0,5.1
219,Luanda,AO,2020-10-19 19:11:32,-8.84,13.23,77.0,83,20,8.05
220,Pisco,PE,2020-10-19 19:11:32,-13.7,-76.22,71.6,60,0,14.99
221,Nanortalik,GL,2020-10-19 19:11:32,60.14,-45.24,37.72,89,89,9.4
222,Aguimes,ES,2020-10-19 19:11:33,27.91,-15.45,78.8,74,20,4.7
223,Tarnos,FR,2020-10-19 19:11:33,43.54,-1.46,75.2,33,100,10.29
224,Tiksi,RU,2020-10-19 19:11:23,71.69,128.87,15.24,93,100,22.57
225,Constitucion,CL,2020-10-19 19:11:33,-35.33,-72.42,61.52,50,0,17.94
226,Te Anau,NZ,2020-10-19 19:11:33,-45.42,167.72,43.86,83,50,3.44
227,Port Macquarie,AU,2020-10-19 19:11:33,-31.43,152.92,57.99,97,92,1.99
228,Beisfjord,NO,2020-10-19 19:11:33,68.38,17.6,28.4,86,0,12.75
229,Pevek,RU,2020-10-19 19:11:34,69.7,170.31,24.8,94,0,13.87
230,Fairbanks,US,2020-10-19 19:10:38,64.84,-147.72,17.6,85,90,2.24
231,Karaton,ID,2020-10-19 19:11:34,-6.34,106.1,78.8,78,20,3.36
232,Conchal,BR,2020-10-19 19:11:34,-22.33,-47.17,73.71,74,100,2.26
233,Bathsheba,BB,2020-10-19 19:07:15,13.22,-59.52,87.8,66,20,9.17
234,Acapulco,MX,2020-10-19 19:06:47,16.86,-99.89,87.8,74,40,4.7
235,Richards Bay,ZA,2020-10-19 19:07:27,-28.78,32.04,72.43,85,99,4.94
236,Kupang,ID,2020-10-19 19:10:12,-10.17,123.58,77.76,78,16,5.17
237,Tomatlan,MX,2020-10-19 19:06:52,19.93,-105.25,91.42,59,8,5.84
238,Rafsanjan,IR,2020-10-19 19:11:35,30.41,55.99,50.13,41,0,3.04
239,Ust-Kuyga,RU,2020-10-19 19:11:35,70.02,135.6,11.55,95,100,7.63
240,Dingzhou,CN,2020-10-19 19:11:35,38.51,115.0,50.0,81,15,4.47
241,Mandalgarh,IN,2020-10-19 19:11:35,25.2,75.1,78.22,71,93,3.98
242,Ambon,ID,2020-10-19 19:11:35,-3.7,128.18,80.01,92,100,6.85
243,Yeppoon,AU,2020-10-19 19:08:03,-23.13,150.73,64.4,82,0,3.29
244,Katherine,AU,2020-10-19 19:11:36,-14.47,132.27,82.4,69,23,8.05
245,Kenora,CA,2020-10-19 19:07:32,49.82,-94.43,28.0,79,61,5.01
246,Avera,US,2020-10-19 19:11:36,33.19,-82.53,77.0,50,1,6.93
247,Bar-Le-Duc,FR,2020-10-19 19:11:36,48.75,5.17,48.2,70,100,6.93
248,Batavia,US,2020-10-19 19:11:36,41.85,-88.31,48.99,61,1,8.05
249,Hami,CN,2020-10-19 19:11:36,42.8,93.45,50.18,43,1,12.59
250,Saint-Francois,FR,2020-10-19 19:11:36,46.42,3.91,50.0,87,85,4.7
251,Cherskiy,RU,2020-10-19 19:11:37,68.75,161.3,17.83,95,0,3.8
252,Santa Maria,BR,2020-10-19 19:11:37,-29.68,-53.81,89.76,38,0,2.33
253,Ardakan,IR,2020-10-19 19:11:37,32.31,54.02,59.0,11,0,2.24
254,Lunenburg,CA,2020-10-19 19:11:37,44.38,-64.32,57.0,96,82,1.77
255,Mahebourg,MU,2020-10-19 19:11:37,-20.41,57.7,75.2,69,40,11.41
256,Poum,NC,2020-10-19 19:11:37,-20.23,164.02,73.45,71,0,8.68
257,Lorengau,PG,2020-10-19 19:11:37,-2.02,147.27,80.17,73,92,1.5
258,Alice Springs,AU,2020-10-19 19:08:37,-23.7,133.88,66.2,77,75,11.41
259,Albion,US,2020-10-19 19:11:38,42.24,-84.75,46.4,70,90,4.7
260,Kurilsk,RU,2020-10-19 19:11:38,45.23,147.88,48.88,65,90,9.78
261,Georgetown,MY,2020-10-19 19:11:06,5.41,100.34,82.4,88,20,3.13
262,Kalaikunda,IN,2020-10-19 19:11:38,22.35,87.25,78.82,79,0,3.8
263,Lianzhou,CN,2020-10-19 19:11:38,24.78,112.38,57.29,85,15,3.22
264,Bayan,CN,2020-10-19 19:11:38,46.08,127.4,48.0,45,0,5.32
265,Yarim,YE,2020-10-19 19:11:38,14.3,44.38,53.64,40,0,4.74
266,Ulladulla,AU,2020-10-19 19:11:39,-35.35,150.47,57.2,76,90,5.82
267,Ahipara,NZ,2020-10-19 19:10:58,-35.17,173.17,58.98,85,100,8.57
268,Manoel Urbano,BR,2020-10-19 19:11:39,-8.84,-69.26,96.31,36,96,3.6
269,Grand Gaube,MU,2020-10-19 19:11:39,-20.01,57.66,73.99,69,35,5.01
270,Keflavik,IS,2020-10-19 19:11:39,64.0,-22.56,37.4,74,100,8.05
271,Bajil,YE,2020-10-19 19:11:39,15.06,43.29,87.42,51,0,6.73
272,Sunel,IN,2020-10-19 19:11:39,24.37,75.97,78.22,62,93,1.32
273,Bengkulu,ID,2020-10-19 19:10:12,-3.8,102.27,76.21,87,100,3.71
274,Bakel,SN,2020-10-19 19:11:39,14.9,-12.46,95.88,15,0,8.72
275,Katsuura,JP,2020-10-19 19:10:55,35.13,140.3,57.2,82,100,10.29
276,Popondetta,PG,2020-10-19 19:11:40,-8.75,148.25,73.65,89,21,2.8
277,Pemberton,CA,2020-10-19 19:11:40,50.32,-122.8,52.0,93,90,5.82
278,Luang Prabang,LA,2020-10-19 19:11:40,19.89,102.13,66.6,88,99,2.13
279,Trairi,BR,2020-10-19 19:07:09,-3.28,-39.27,82.72,66,64,16.22
280,Atbasar,KZ,2020-10-19 19:11:40,51.8,68.33,47.39,72,0,11.14
281,College,US,2020-10-19 19:11:40,64.86,-147.8,17.6,78,90,3.36
282,Saint-Leu,RE,2020-10-19 19:11:41,-21.15,55.28,71.6,78,3,5.82
283,Le Port,RE,2020-10-19 19:11:41,-20.94,55.29,75.2,60,40,12.75
284,Maygatasan,PH,2020-10-19 19:11:41,8.71,125.72,74.79,93,100,1.61
285,Yakima,US,2020-10-19 19:11:41,46.47,-120.67,63.0,58,1,4.7
286,Puerto Narino,CO,2020-10-19 19:11:41,-3.77,-70.38,86.0,74,75,2.24
287,Asau,RO,2020-10-19 19:07:02,46.43,26.4,45.0,81,0,3.36
288,Gamba,GA,2020-10-19 19:11:41,-2.65,10.0,77.0,88,100,8.21
289,Omboue,GA,2020-10-19 19:11:41,-1.57,9.26,77.7,86,100,8.12
290,Saryozek,KZ,2020-10-19 19:11:42,44.36,77.98,47.34,46,0,6.73
291,Olafsvik,IS,2020-10-19 19:11:42,64.89,-23.71,40.05,72,100,11.61
292,Bintulu,MY,2020-10-19 19:11:42,3.17,113.03,77.0,94,40,2.24
293,Cabedelo,BR,2020-10-19 19:11:42,-6.98,-34.83,86.0,58,40,14.99
294,Chokurdakh,RU,2020-10-19 19:11:42,70.63,147.92,16.16,98,92,6.51
295,Bakchar,RU,2020-10-19 19:11:42,57.02,82.07,34.9,86,100,10.94
296,Hofn,IS,2020-10-19 19:11:42,64.25,-15.21,37.4,69,20,11.41
297,Ixtapa,MX,2020-10-19 19:11:42,20.7,-105.2,89.01,70,20,12.75
298,Iqaluit,CA,2020-10-19 19:11:42,63.75,-68.51,33.01,74,100,4.0
299,Dali,CN,2020-10-19 19:11:43,25.7,100.18,58.28,89,99,2.82
300,Kaeo,NZ,2020-10-19 19:11:43,-35.1,173.78,55.99,96,100,1.99
301,Goderich,CA,2020-10-19 19:10:34,43.75,-81.72,52.0,77,100,3.4
302,Teguldet,RU,2020-10-19 19:11:43,57.31,88.17,30.85,98,100,11.16
303,Beihai,CN,2020-10-19 19:11:43,21.48,109.1,66.83,78,100,19.08
304,Poquoson,US,2020-10-19 19:11:43,37.12,-76.35,73.0,68,40,9.17
305,Whitehorse,CA,2020-10-19 19:11:43,60.72,-135.05,21.0,73,100,3.0
